,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Steven Adams,Okc,C,27.07,63,26.7,55.6,17.3,14.4,201,0.582,475,0.594,3,0.333,0.593,0.604,10.9,9.3,19.2,2.3,13.2,0.81,1.06,1.51,9.2,122,101.9
Bam Adebayo,Mia,C-F,23.08,72,33.6,69.9,21.2,17.5,382,0.691,777,0.564,14,0.143,0.558,0.597,15.9,10.2,17,5.1,24.2,1.14,1.29,2.82,11.2,116.2,102.2
LaMarcus Aldridge,San,F-C,35.07,53,33.1,68.9,23.4,7.8,191,0.827,637,0.518,157,0.389,0.531,0.57,18.9,7.4,12,2.4,11.4,0.68,1.64,1.4,8.4,114.7,109.1
Kyle Alexander,Mia,F-C,23.81,2,6.7,14,9.9,33.3,0,0,2,0.5,0,0,0.5,0.5,1,1.5,12.5,0,0,0,0,0.5,0,96,108.8
Nickeil Alexander-Walker,Nor,G,21.95,47,12.6,26.2,23.3,16.1,37,0.676,133,0.391,133,0.346,0.455,0.473,5.7,1.8,7.5,1.9,21.1,0.36,0.17,1.15,8.5,93.2,106.4
Grayson Allen,Mem,G,24.85,38,18.9,39.4,17.6,10.9,45,0.867,110,0.545,141,0.404,0.58,0.609,8.7,2.2,6.2,1.4,10,0.32,0.05,0.87,6.3,113.6,108.9
Jarrett Allen,Bro,C,22.32,70,26.5,55.1,14.9,11.7,270,0.633,459,0.658,6,0,0.649,0.664,11.1,9.6,18.7,1.6,8.9,0.57,1.31,1.1,8.4,131.3,101
Kadeem Allen,Nyk,G,27.58,10,11.7,24.4,20.6,14.1,11,0.636,28,0.5,16,0.313,0.489,0.512,5,0.9,4.1,2.1,27,0.5,0.2,0.8,7.2,106,111.9
Al-Farouq Aminu,Orl,F,29.9,18,21.1,44,13.2,14.7,29,0.655,50,0.32,36,0.25,0.343,0.395,4.3,4.9,12.5,1.2,7.4,1,0.44,0.94,5.6,88.2,103.7
Justin Anderson,Bro,F-G,26.74,10,10.7,22.4,17.1,9.1,4,0.5,9,0.444,29,0.207,0.342,0.352,2.8,2.1,10.1,0.8,10.1,0,0.6,0.4,6.3,77.7,100.4
